Fund Holdings as of,"10/Mar/2022"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"AAPL","APPLE INC","Information Technology","Equity","2,073,438,271.08","4.68","2,073,438,271.08","13,079,979.00","158.52","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1,624,009,248.54","3.67","1,624,009,248.54","5,686,506.00","285.59","United States","NASDAQ","USD"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","1,067,342,670.55","2.41","1,067,342,670.55","363,493.00","2,936.35","United States","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","633,900,287.65","1.43","633,900,287.65","239,335.00","2,648.59","United States","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","604,613,298.52","1.37","604,613,298.52","227,843.00","2,653.64","United States","NASDAQ","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","570,136,213.00","1.29","570,136,213.00","680,110.00","838.30","United States","NASDAQ","USD"
"NVDA","NVIDIA CORP","Information Technology","Equity","450,895,559.48","1.02","450,895,559.48","1,990,006.00","226.58","United States","NASDAQ","USD"
"FB","META PLATFORMS INC CLASS A","Communication","Equity","369,535,458.15","0.83","369,535,458.15","1,893,015.00","195.21","United States","NASDAQ","USD"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","368,390,304.16","0.83","368,390,304.16","749,614.00","491.44","United States","New York Stock Exchange Inc.","USD"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","355,614,146.40","0.80","355,614,146.40","2,096,040.00","169.66","United States","New York Stock Exchange Inc.","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","337,279,172.50","0.76","337,279,172.50","1,036,825.00","325.30","United States","New York Stock Exchange Inc.","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","308,051,068.28","0.70","308,051,068.28","2,336,198.00","131.86","United States","New York Stock Exchange Inc.","USD"
"XOM","EXXON MOBIL CORP","Energy","Equity","288,056,112.08","0.65","288,056,112.08","3,374,603.00","85.36","United States","New York Stock Exchange Inc.","USD"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","279,905,374.14","0.63","279,905,374.14","1,931,181.00","144.94","United States","New York Stock Exchange Inc.","USD"
"NESN","NESTLE SA","Consumer Staples","Equity","274,462,445.95","0.62","274,462,445.95","2,242,733.00","122.38","Switzerland","SIX Swiss Exchange","CHF"
"V","VISA INC CLASS A","Information Technology","Equity","265,259,409.09","0.60","265,259,409.09","1,339,897.00","197.97","United States","New York Stock Exchange Inc.","USD"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","264,632,907.84","0.60","264,632,907.84","832,336.00","317.94","United States","New York Stock Exchange Inc.","USD"
"CVX","CHEVRON CORP","Energy","Equity","262,121,410.98","0.59","262,121,410.98","1,534,489.00","170.82","United States","New York Stock Exchange Inc.","USD"
"BAC","BANK OF AMERICA CORP","Financials","Equity","236,705,419.16","0.53","236,705,419.16","5,820,148.00","40.67","United States","New York Stock Exchange Inc.","USD"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","227,166,583.63","0.51","227,166,583.63","699,857.00","324.59","United States","New York Stock Exchange Inc.","USD"
"PFE","PFIZER INC","Health Care","Equity","221,148,637.20","0.50","221,148,637.20","4,494,891.00","49.20","United States","New York Stock Exchange Inc.","USD"
"ABBV","ABBVIE INC","Health Care","Equity","211,318,995.44","0.48","211,318,995.44","1,416,632.00","149.17","United States","New York Stock Exchange Inc.","USD"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","209,155,612.70","0.47","209,155,612.70","556,618.00","375.76","Switzerland","SIX Swiss Exchange","CHF"
"ASML","ASML HOLDING NV","Information Technology","Equity","197,612,460.18","0.45","197,612,460.18","328,834.00","600.95","Netherlands","Euronext Amsterdam","EUR"
"AVGO","BROADCOM INC","Information Technology","Equity","192,890,047.35","0.44","192,890,047.35","328,195.00","587.73","United States","NASDAQ","USD"
"DIS","WALT DISNEY","Communication","Equity","192,688,299.44","0.44","192,688,299.44","1,441,846.00","133.64","United States","New York Stock Exchange Inc.","USD"
"KO","COCA-COLA","Consumer Staples","Equity","187,733,664.24","0.42","187,733,664.24","3,243,498.00","57.88","United States","New York Stock Exchange Inc.","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","185,282,679.60","0.42","185,282,679.60","347,805.00","532.72","United States","NASDAQ","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","183,567,861.19","0.41","183,567,861.19","3,355,289.00","54.71","United States","NASDAQ","USD"
"WMT","WALMART INC","Consumer Staples","Equity","176,637,270.90","0.40","176,637,270.90","1,238,430.00","142.63","United States","New York Stock Exchange Inc.","USD"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","174,234,511.97","0.39","174,234,511.97","3,273,239.00","53.23","United States","New York Stock Exchange Inc.","USD"
"LLY","ELI LILLY","Health Care","Equity","171,915,158.98","0.39","171,915,158.98","646,249.00","266.02","United States","New York Stock Exchange Inc.","USD"
"PEP","PEPSICO INC","Consumer Staples","Equity","170,533,923.08","0.39","170,533,923.08","1,103,708.00","154.51","United States","NASDAQ","USD"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","168,769,364.00","0.38","168,769,364.00","313,552.00","538.25","United States","New York Stock Exchange Inc.","USD"
"ADBE","ADOBE INC","Information Technology","Equity","166,127,211.75","0.38","166,127,211.75","378,465.00","438.95","United States","NASDAQ","USD"
