Fondsposition per,"10.Mär.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","IT","Aktien","86.952.985,64","7,19","86.952.985,64","4.199.370,00","20,71","Taiwan","Taiwan Stock Exchange","TWD"
"CNYA","ISH MSCI CHINA A ETF USD ACC","Financials","Aktien","63.077.762,76","5,21","63.077.762,76","11.278.992,00","5,59","Irland","London Stock Exchange","USD"
"700","TENCENT HOLDINGS LTD","Kommunikation","Aktien","48.344.800,32","4,00","48.344.800,32","982.291,00","49,22","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"005930","SAMSUNG ELECTRONICS LTD","IT","Aktien","47.173.036,11","3,90","47.173.036,11","813.768,00","57,97","Korea","Korea Exchange (Stock Market)","KRW"
"9988","ALIBABA GROUP HOLDING LTD","Zyklische Konsumgüter ","Aktien","31.792.581,70","2,63","31.792.581,70","2.587.936,00","12,28","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"4BRZ","ISHARES MSCI BRAZIL UCITS ET USDHA","Financials","Aktien","27.675.924,25","2,29","27.675.924,25","803.365,00","34,45","Deutschland","Xetra","USD"
"IKSA","ISHARES MSCI SAUDI ARABIA CAPPED","Sonstige","Aktien","18.935.034,03","1,57","18.935.034,03","2.712.367,00","6,98","Irland","London Stock Exchange","USD"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energie","Aktien","15.226.974,57","1,26","15.226.974,57","485.691,00","31,35","Indien","National Stock Exchange Of India","INR"
"INFY","INFOSYS LTD","IT","Aktien","13.693.137,30","1,13","13.693.137,30","572.241,00","23,93","Indien","National Stock Exchange Of India","INR"
"3690","MEITUAN","Zyklische Konsumgüter ","Aktien","12.874.144,15","1,06","12.874.144,15","698.400,00","18,43","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Aktien","11.779.304,76","0,97","11.779.304,76","16.395.870,00","0,72","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9618","JD.COM CLASS A INC","Zyklische Konsumgüter ","Aktien","10.343.649,04","0,86","10.343.649,04","340.835,00","30,35","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2454","MEDIATEK INC","IT","Aktien","9.122.839,78","0,75","9.122.839,78","259.923,00","35,10","Taiwan","Taiwan Stock Exchange","TWD"
"000660","SK HYNIX INC","IT","Aktien","9.120.195,40","0,75","9.120.195,40","93.349,00","97,70","Korea","Korea Exchange (Stock Market)","KRW"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Aktien","8.591.903,74","0,71","8.591.903,74","292.949,00","29,33","Indien","National Stock Exchange Of India","INR"
"ICICIBANK","ICICI BANK LTD","Financials","Aktien","7.776.630,52","0,64","7.776.630,52","877.026,00","8,87","Indien","National Stock Exchange Of India","INR"
"2317","HON HAI PRECISION INDUSTRY LTD","IT","Aktien","7.746.360,08","0,64","7.746.360,08","2.132.054,00","3,63","Taiwan","Taiwan Stock Exchange","TWD"
"VALE3","CIA VALE DO RIO DOCE SH","Materialien","Aktien","7.670.703,43","0,63","7.670.703,43","398.171,00","19,26","Brasilien","XBSP","BRL"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Aktien","7.606.971,79","0,63","7.606.971,79","1.080.950,00","7,04","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TCS","TATA CONSULTANCY SERVICES LTD","IT","Aktien","7.438.690,25","0,61","7.438.690,25","156.757,00","47,45","Indien","National Stock Exchange Of India","INR"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","IT","Aktien","7.291.190,72","0,60","7.291.190,72","141.030,00","51,70","Korea","Korea Exchange (Stock Market)","KRW"
"BIDU","BAIDU ADS REPTG INC CLASS A","Kommunikation","Aktien","6.430.912,80","0,53","6.430.912,80","47.580,00","135,16","China","NASDAQ","USD"
"9999","NETEASE INC","Kommunikation","Aktien","6.101.360,16","0,50","6.101.360,16","352.500,00","17,31","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"035420","NAVER CORP","Kommunikation","Aktien","5.687.317,73","0,47","5.687.317,73","21.136,00","269,08","Korea","Korea Exchange (Stock Market)","KRW"
